"country","HDI","lifeExp","expEdu","meanEdu","GNIC_log","GNICr_HDIr","GII","matMort_log","adolBirthRate_log","reprParl","edu2F","edu2M","labF","labM","eduRatio","labRatio"
"Moldova (Republic of)",0.693,71.6,11.9,11.2,3.71792002583699,23,0.248,1.32221929473392,1.46686762035411,20.8,93.6,96.6,37.6,44.2,0.968944099378882,0.850678733031674
"Egypt",0.69,71.1,13.5,6.6,4.02168535221571,-12,0.573,1.65321251377534,1.63346845557959,2.2,43.9,60.6,23.7,74.8,0.724422442244224,0.316844919786096
"Gabon",0.684,64.4,12.5,7.8,4.2139690824147,-42,0.514,2.38021124171161,2.01283722470517,16.2,53.9,36.1,56.2,65.4,1.49307479224377,0.859327217125382
"Indonesia",0.684,68.9,13,7.6,3.99069396067975,-9,0.494,2.27875360095283,1.68394713075151,17.1,39.9,49.2,51.4,84.2,0.810975609756098,0.610451306413302
"Paraguay",0.679,72.9,11.9,7.7,3.88326385958497,-3,0.472,2.04139268515822,1.82607480270083,16.8,36.8,43,55.7,84.8,0.855813953488372,0.65683962264151
"Philippines",0.668,68.2,11.3,8.9,3.89845091919837,-7,0.42,2.07918124604762,1.67024585307412,27.1,65.9,63.7,51.1,79.7,1.03453689167975,0.641154328732748
"El Salvador",0.666,73,12.3,6.5,3.86622824737965,-3,0.427,1.83884909073726,1.88081359228079,27.4,36.8,43.6,47.8,79,0.844036697247706,0.605063291139241
"South Africa",0.666,57.4,13.6,9.9,4.08357427967399,-29,0.407,2.14612803567824,1.70671778233676,40.7,72.7,75.9,44.5,60.5,0.957839262187088,0.735537190082645
"Viet Nam",0.666,75.8,11.9,7.5,3.70688839498162,15,0.308,1.69019608002851,1.46239799789896,24.3,59.4,71.2,73,82.2,0.834269662921348,0.888077858880779
"Bolivia (Plurinational State of)",0.662,68.3,13.2,8.2,3.76042248342321,4,0.444,2.30102999566398,1.85672889038288,51.8,47.6,59.1,64.2,80.9,0.805414551607445,0.793572311495674
"Kyrgyzstan",0.655,70.6,12.5,10.6,3.48344464809854,29,0.353,1.8750612633917,1.46686762035411,23.3,94.5,96.8,56,79.5,0.976239669421488,0.70440251572327
"Iraq",0.654,69.4,10.1,6.4,4.14622108881188,-44,0.539,1.82607480270083,1.83695673705955,26.5,27.8,50.2,14.9,69.8,0.553784860557769,0.213467048710602
"Guyana",0.636,66.4,10.3,8.5,3.81438079446994,-4,0.515,2.39794000867204,1.94694327069783,31.3,60.3,47.8,42.6,80.5,1.26150627615063,0.529192546583851
"Nicaragua",0.631,74.9,11.5,6,3.64904263408618,12,0.449,2,2.00346053210951,39.1,39.4,38.3,47.4,80.3,1.02872062663185,0.590286425902864
"Morocco",0.628,74,11.6,4.4,3.83569057149243,-8,0.525,2.07918124604762,1.55388302664387,11,20.7,30.2,26.5,75.8,0.685430463576159,0.349604221635884
"Namibia",0.628,64.8,11.3,6.2,3.9739586861067,-21,0.401,2.11394335230684,1.73957234445009,37.7,33.3,34.4,54.7,63.7,0.968023255813953,0.858712715855573
"Guatemala",0.627,71.8,10.7,5.6,3.84067056133341,-11,0.533,2.14612803567824,1.98766626492627,13.3,21.9,23.2,49.3,88.2,0.943965517241379,0.558956916099773
"Tajikistan",0.624,69.4,11.2,10.4,3.40088321554836,27,0.357,1.64345267648619,1.63144376901317,15.2,95.1,91.2,58.9,77.1,1.04276315789474,0.763942931258106
"India",0.609,68,11.7,5.4,3.74012573696573,-4,0.563,2.27875360095283,1.51587384371168,12.2,27,56.6,27,79.9,0.477031802120141,0.337922403003755
"Honduras",0.606,73.1,11.1,5.5,3.5952757118021,7,0.48,2.07918124604762,1.92427928606188,25.8,28,25.8,42.8,82.9,1.08527131782946,0.516284680337756
"Bhutan",0.605,69.5,12.6,3,3.85588243003604,-17,0.457,2.07918124604762,1.61172330800734,8.3,34,34.5,66.7,77.2,0.985507246376812,0.863989637305699
"Syrian Arab Republic",0.594,69.6,12.3,6.3,3.43584436598444,21,0.533,1.69019608002851,1.61909333062674,12.4,29.5,40.5,13.5,72.7,0.728395061728395,0.185694635488308
"Congo",0.591,62.3,11.1,6.1,3.77901897191487,-14,0.593,2.61278385671974,2.10277661488344,11.5,39.7,47,68.5,73,0.84468085106383,0.938356164383562
"Zambia",0.586,60.1,13.5,6.6,3.57217431361306,2,0.587,2.44715803134222,2.0982975364947,12.7,25.8,44,73.1,85.6,0.586363636363636,0.853971962616822
"Ghana",0.579,61.4,11.5,7,3.5856862784525,-1,0.554,2.57978359661681,1.7664128471124,10.9,45.2,64.7,67.3,71.4,0.698608964451314,0.942577030812325
"Bangladesh",0.57,71.6,10,5.1,3.50392680419351,5,0.503,2.23044892137827,1.90633504180509,20,34.1,41.3,57.4,84.1,0.825665859564165,0.682520808561237
"Cambodia",0.555,68.4,10.9,4.4,3.4696747725518,7,0.477,2.23044892137827,1.64640372622307,19,9.9,22.9,78.8,86.5,0.432314410480349,0.910982658959538
"Kenya",0.548,61.6,11,6.3,3.44122367424261,9,0.552,2.60205999132796,1.97127584873811,20.8,25.3,31.4,62.2,72.4,0.805732484076433,0.859116022099447
"Nepal",0.548,69.6,12.4,3.3,3.36379994547911,16,0.489,2.27875360095283,1.86746748785905,29.5,17.7,38.2,79.9,87.1,0.463350785340314,0.917336394948335
"Pakistan",0.538,66.2,7.8,4.7,3.6871721045948,-14,0.536,2.23044892137827,1.43616264704076,19.7,19.3,46.1,24.6,82.9,0.418655097613883,0.296743063932449
"Myanmar",0.536,65.9,8.6,4.1,3.66351247041516,-12,0.413,2.30102999566398,1.08278537031645,4.7,22.9,15.3,75.2,82.3,1.49673202614379,0.913730255164034
"Swaziland",0.531,49,11.3,7.1,3.74366652144621,-25,0.557,2.49136169383427,1.85733249643127,14.7,21.9,26,43.9,71.6,0.842307692307692,0.613128491620112
"Tanzania (United Republic of)",0.521,65,9.2,5.1,3.38219721037745,8,0.547,2.61278385671974,2.088844562727,36,5.6,9.5,88.1,90.2,0.589473684210526,0.976718403547672
"Cameroon",0.512,55.5,10.4,6,3.44762309776029,-1,0.587,2.77085201164214,2.06370855939142,27.1,21.3,34.9,63.8,76.8,0.610315186246418,0.830729166666667
"Zimbabwe",0.509,57.5,10.9,7.3,3.20817252666712,13,0.504,2.67209785793572,1.78031731214015,35.1,48.7,62,83.2,89.7,0.785483870967742,0.927536231884058
"Mauritania",0.506,63.1,8.5,3.8,3.55144999797288,-14,0.61,2.50514997831991,1.86510397464113,22.2,8.3,20.9,28.7,79.1,0.397129186602871,0.36283185840708
"Papua New Guinea",0.505,62.6,9.9,4,3.3914644118391,-1,0.611,2.34242268082221,1.79309160017658,2.7,7.6,14.5,70.5,74,0.524137931034483,0.952702702702703
"Yemen",0.498,63.8,9.2,2.6,3.54641926683519,-17,0.744,2.43136376415899,1.67209785793572,0.7,8.6,26.7,25.4,72.2,0.322097378277154,0.35180055401662
"Lesotho",0.497,49.8,11.1,5.9,3.51930284923543,-16,0.541,2.69019608002851,1.95133751879592,26.8,21.9,19,59,73.5,1.15263157894737,0.802721088435374
"Togo",0.484,59.7,12.2,4.5,3.08919836680515,17,0.588,2.65321251377534,1.96142109406645,17.6,16.1,40.3,80.6,81.3,0.399503722084367,0.991389913899139
"Haiti",0.483,62.8,8.7,4.9,3.22245633667925,4,0.603,2.57978359661681,1.6232492903979,3.5,22.4,35.2,60.9,71,0.636363636363636,0.857746478873239
"Rwanda",0.483,64.2,10.3,3.7,3.16375752398196,11,0.4,2.50514997831991,1.52633927738984,57.5,8,8.8,86.4,85.3,0.909090909090909,1.01289566236811
"Uganda",0.483,58.5,9.8,5.4,3.20763436738896,6,0.538,2.55630250076729,2.10243370568134,35,22.9,33.5,75.8,79.2,0.683582089552239,0.957070707070707
"Benin",0.48,59.6,11.1,3.3,3.24723654950676,0,0.614,2.53147891704225,1.95520653754194,8.4,11.3,27,67.6,78.3,0.418518518518519,0.863346104725415
"Sudan",0.479,63.5,7,3.1,3.58081097266095,-27,0.591,2.55630250076729,1.92427928606188,23.8,12.1,18.2,31.3,76,0.664835164835165,0.411842105263158
"Senegal",0.466,66.5,7.9,2.5,3.34004731766139,-8,0.528,2.50514997831991,1.97497199429807,42.7,7.2,15.4,66,88,0.467532467532468,0.75
"Afghanistan",0.465,60.4,9.3,3.2,3.27531135454181,-7,0.693,2.60205999132796,1.93851972517649,27.6,5.9,29.8,15.8,79.5,0.197986577181208,0.19874213836478
"Côte d'Ivoire",0.462,51.5,8.9,4.3,3.50119624202709,-24,0.679,2.85733249643127,2.11494441571258,9.2,14,30.1,52.4,81.4,0.465116279069767,0.643734643734644
"Malawi",0.445,62.8,10.8,4.3,2.8733206018154,13,0.611,2.70757017609794,2.16076856186113,16.7,11.1,21.6,84.6,81.5,0.513888888888889,1.03803680981595
"Ethiopia",0.442,64.1,8.5,2.4,3.15472820744016,2,0.558,2.6232492903979,1.89431606268444,25.5,7.8,18.2,78.2,89.3,0.428571428571429,0.875699888017917
"Gambia",0.441,60.2,8.8,2.8,3.17811325231463,-2,0.622,2.63346845557959,2.06370855939142,9.4,17.4,31.5,72.2,82.9,0.552380952380952,0.870928829915561
"Congo (Democratic Republic of the)",0.433,58.7,9.8,6,2.83250891270624,11,0.673,2.86332286012046,2.13129779659762,8.2,12.8,32.4,70.7,73.2,0.395061728395062,0.965846994535519
"Liberia",0.43,60.9,9.5,4.1,2.90579588036787,7,0.651,2.80617997398389,2.0696680969116,10.7,15.4,39.3,58.2,64.8,0.391857506361323,0.898148148148148
"Mali",0.419,58,8.4,2,3.19948091486236,-8,0.677,2.74036268949424,2.24452451157008,9.5,7.7,15.1,50.8,81.4,0.509933774834437,0.624078624078624
"Mozambique",0.416,55.1,9.3,3.2,3.05037975626146,1,0.591,2.68124123737559,2.13924921757161,39.6,1.4,6.2,85.5,82.8,0.225806451612903,1.03260869565217
"Sierra Leone",0.413,50.9,8.6,3.1,3.25042000230889,-16,0.65,3.04139268515822,2.00302947055362,12.4,10,21.7,65.7,69,0.460829493087558,0.952173913043478
"Burkina Faso",0.402,58.7,7.8,1.4,3.20167017964658,-13,0.631,2.60205999132796,2.06220580881971,13.3,0.9,3.2,77.1,90,0.28125,0.856666666666667
"Burundi",0.4,56.7,10.1,2.7,2.87966920563205,1,0.492,2.86923171973098,1.48144262850231,34.9,5.3,8.3,83.3,82,0.63855421686747,1.01585365853659
"Chad",0.392,51.6,7.4,1.9,3.31910605930978,-22,0.706,2.99122607569249,2.18184358794477,14.9,1.7,9.9,64,79.2,0.171717171717172,0.808080808080808
